 What is your age? ,What is your gender?  , What is your occupation?   , How many hours do you play video games per day on average?  ,How many days per week do you play games?  , What type of games do you mostly play?  ,Do you often lose track of time while gaming?  ,Have you ever skipped meals or sleep due to gaming?   ,Have others ever expressed concern about your gaming habits?  ,"On a scale of 1 to 10, how stressed do you feel on average?  ","On a scale of 1 to 10, how anxious do you feel regularly?  ","On average, how many hours of sleep do you get per night?  ",How often do you feel socially withdrawn or isolated?  ,Have you ever felt guilty or depressed after long gaming sessions?  ,Do you think gaming helps you cope with stress or emotional issues?  ,Do you consent to your responses being used anonymously for academic research?   
24,Female,Neurosurgeon,7,1,Battle Royale,No,No,Yes,8,7,6.3,Sometimes,Yes,No,Yes
22,Male,Manager,1,1,Strategy,Yes,Yes,No,8,5,2.9,Often,Yes,Yes,Yes
17,Male,Bank Teller,5,7,Creative,Yes,Yes,Yes,5,8,4.9,Often,Yes,No,Yes
19,Male,Master Electrician,1,2,Action,Yes,Yes,No,4,5,5.3,Often,No,Yes,Yes
19,Male,Marketing Director,2,7,FPS,Yes,No,Yes,3,8,8.6,Sometimes,Yes,No,Yes
18,Male,Office Coordinator,4,4,Simulation,Yes,Yes,No,3,5,8.2,Never,No,Yes,Yes
18,Female,Doctor,1,3,Action,Yes,No,No,7,4,5.2,Often,No,Yes,Yes
29,Male,Doctor,1,7,Puzzle,Yes,Yes,Yes,6,4,8.0,Always,Yes,No,Yes
23,Male,Retail Manager,8,6,MOBA,Yes,No,Yes,5,2,7.7,Often,No,Yes,Yes
18,Male,Fast Food Worker,2,4,Battle Royale,Yes,Yes,Yes,3,8,5.1,Often,Yes,No,Yes
18,Female,Truck Driver,6,5,RPG,Yes,Yes,Yes,9,6,5.7,Often,Yes,Yes,Yes
21,Female,Student,4,4,Creative,Yes,Yes,No,7,7,7.5,Never,No,Yes,Yes
22,Other,Biomedical Engineer,5,3,Racing,Yes,No,Yes,9,7,6.9,Always,Yes,No,Yes
23,Male,Student,3,5,MMO,Yes,No,Yes,5,6,5.1,Always,Yes,No,Yes
18,Male,Student,1,6,Other,Yes,Yes,No,3,8,5.7,Rarely,No,Yes,Yes
20,Male,HS Junior,4,3,Simulation,Yes,Yes,No,3,7,7.1,Sometimes,No,No,Yes
17,Female,Student,4,7,Sports,Yes,No,No,6,10,6.9,Never,No,Yes,Yes
19,Female,Dentist,3,4,Action,Yes,Yes,No,4,8,6.0,Sometimes,No,Yes,Yes
24,Female,Bank Intern,1,5,FPS,Yes,No,No,9,6,7.5,Sometimes,Yes,Yes,Yes
17,Other,Graphic designer,2,1,Creative,Yes,Yes,Yes,8,6,5.2,Never,Yes,No,Yes
21,Female,HS Junior,1,7,Strategy,Yes,Yes,No,10,4,5.3,Sometimes,Yes,Yes,Yes
17,Female,Student,1,4,MMO,Yes,Yes,Yes,2,7,6.3,Often,No,Yes,Yes
22,Female,High School Freshman,5,4,FPS,Yes,Yes,Yes,8,7,5.3,Often,Yes,Yes,Yes
19,Female,HS Junior,4,6,Racing,No,No,No,3,8,7.2,Sometimes,Yes,No,Yes
22,Female,IT Support Specialist,5,3,Fitness,Yes,No,No,9,4,6.8,Never,No,Yes,Yes
19,Male,Medical Student,7,5,Puzzle,No,Yes,Yes,3,2,5.1,Often,Yes,No,Yes
19,Male,Unemployed,4,6,MMO,Yes,Yes,No,9,5,6.2,Often,Yes,Yes,Yes
18,Female,IT Support,5,5,Strategy,Yes,Yes,Yes,3,6,1.8,Sometimes,No,Yes,Yes
22,Male,Psychology Researcher,1,7,Sports,Yes,Yes,Yes,2,8,8.3,Sometimes,Yes,Yes,Yes
24,Female,College Senior,4,3,MMO,Yes,Yes,Yes,10,4,7.4,Often,No,No,No
18,Male,UI Designer,2,6,Simulation,Yes,No,No,3,3,6.3,Often,Yes,No,Yes
18,Female,Pharmacy Intern,4,5,Multiplayer,Yes,No,Yes,8,3,6.0,Often,No,Yes,Yes
25,Male,Student,1,7,Battle Royale,Yes,No,Yes,3,6,7.2,Often,Yes,No,Yes
19,Male,High School Student,5,4,Creative,Yes,No,No,3,6,5.6,Never,No,Yes,Yes
22,Male,Janitor,5,2,Adventure,No,Yes,Yes,2,5,3.5,Rarely,No,No,Yes
17,Male,Student,5,7,Simulation,Yes,Yes,No,8,4,4.6,Always,Yes,Yes,Yes
19,Female,Medical Student,2,2,Strategy,Yes,Yes,No,5,3,6.3,Sometimes,No,Yes,Yes
22,Male,Student,6,6,Puzzle,Yes,Yes,Yes,3,2,5.0,Sometimes,Yes,No,Yes
18,Female,Receptionist,6,7,FPS,No,No,Yes,6,7,6.8,Sometimes,Yes,No,Yes
